Term,Coefficient
1,0.0005611911362971553
Twist_0.19R,-1.3475505535043053e-07
Twist_0.47R,-8.631477958213909e-07
Twist_0.50R,-2.84514842796998e-07
Twist_0.74R,-9.848328014009248e-07
Twist_0.82R,-1.835572546520118e-06
Twist_0.85R,-1.0405822274508124e-06
Twist_0.86R,-1.573657408280423e-06
Twist_0.93R,3.133475324216913e-06
Twist_1.00R,4.945000408483836e-06
Twist_0.19R^2,-6.435933012392265e-09
Twist_0.19R Twist_0.47R,3.3423702970016175e-09
Twist_0.19R Twist_0.50R,-3.0607617443990867e-09
Twist_0.19R Twist_0.74R,-5.916424145906601e-10
Twist_0.19R Twist_0.82R,-9.065420869403905e-10
Twist_0.19R Twist_0.85R,4.9771251130835396e-09
Twist_0.19R Twist_0.86R,-8.424261028746198e-09
Twist_0.19R Twist_0.93R,-1.0302091925985518e-08
Twist_0.19R Twist_1.00R,-3.2429418430167892e-09
Twist_0.47R^2,7.24322487199208e-08
Twist_0.47R Twist_0.50R,1.0886522956792426e-09
Twist_0.47R Twist_0.74R,-6.953728897072017e-08
Twist_0.47R Twist_0.82R,-6.44389922776112e-08
Twist_0.47R Twist_0.85R,-2.8122979405407356e-08
Twist_0.47R Twist_0.86R,-5.289940983964664e-08
Twist_0.47R Twist_0.93R,-1.0912484063053079e-07
Twist_0.47R Twist_1.00R,-6.578764037072655e-08
Twist_0.50R^2,1.8770687000768477e-07
Twist_0.50R Twist_0.74R,1.82369347298123e-07
Twist_0.50R Twist_0.82R,-1.844093250135604e-07
Twist_0.50R Twist_0.85R,-6.766080247077912e-08
Twist_0.50R Twist_0.86R,-1.4425544930610763e-07
Twist_0.50R Twist_0.93R,-2.916361742948879e-07
Twist_0.50R Twist_1.00R,-1.6198573745982574e-07
Twist_0.74R^2,9.583993730818744e-07
Twist_0.74R Twist_0.82R,2.0029810618436172e-08
Twist_0.74R Twist_0.85R,-2.4395202985079977e-07
Twist_0.74R Twist_0.86R,-5.134409732671781e-07
Twist_0.74R Twist_0.93R,-9.88733068166152e-07
Twist_0.74R Twist_1.00R,-5.199858795886752e-07
Twist_0.82R^2,9.157952134313753e-07
Twist_0.82R Twist_0.85R,1.5948616904948772e-07
Twist_0.82R Twist_0.86R,-3.3367127768775705e-07
Twist_0.82R Twist_0.93R,-6.308990727708179e-07
Twist_0.82R Twist_1.00R,-3.1569334533592914e-07
Twist_0.85R^2,3.9273583300385424e-07
Twist_0.85R Twist_0.86R,-7.101472384242676e-09
Twist_0.85R Twist_0.93R,-2.3713857037066317e-07
Twist_0.85R Twist_1.00R,-1.1897893680110976e-07
Twist_0.86R^2,7.206171887166346e-07
Twist_0.86R Twist_0.93R,2.3473638221990182e-07
Twist_0.86R Twist_1.00R,-2.6512323760938994e-07
Twist_0.93R^2,1.0476216783297182e-06
Twist_0.93R Twist_1.00R,2.9136047731599747e-07
Twist_1.00R^2,5.89749893754688e-07
