Term,Coefficient
1,0.0059580008833504065
Twist_0.19R,3.873308973729451e-11
Twist_0.47R,-9.459896179810752e-11
Twist_0.50R,-3.4146935827032683e-10
Twist_0.74R,6.592810444634936e-10
Twist_0.82R,4.986635706306555e-10
Twist_0.85R,1.1079249508783898e-10
Twist_0.86R,1.415106116773186e-10
Twist_0.93R,1.2709729305891763e-10
Twist_1.00R,-9.308536976024342e-11
Twist_0.19R^2,2.3843742049941766e-11
Twist_0.19R Twist_0.47R,1.0400458498290322e-11
Twist_0.19R Twist_0.50R,-2.8567237784764987e-11
Twist_0.19R Twist_0.74R,4.340951386354259e-11
Twist_0.19R Twist_0.82R,4.22529777524183e-11
Twist_0.19R Twist_0.85R,1.0073478154293148e-11
Twist_0.19R Twist_0.86R,2.668487627289441e-11
Twist_0.19R Twist_0.93R,-1.8479392429404948e-12
Twist_0.19R Twist_1.00R,1.0754570638449394e-11
Twist_0.47R^2,8.12975456305432e-11
Twist_0.47R Twist_0.50R,2.3660486246316778e-11
Twist_0.47R Twist_0.74R,-5.584110282958462e-11
Twist_0.47R Twist_0.82R,-3.4161352637288747e-11
Twist_0.47R Twist_0.85R,-4.1421615562777324e-11
Twist_0.47R Twist_0.86R,-6.041696049136205e-11
Twist_0.47R Twist_0.93R,-2.450538877126274e-11
Twist_0.47R Twist_1.00R,-5.6405708689894215e-12
Twist_0.50R^2,9.308285880008844e-11
Twist_0.50R Twist_0.74R,-2.428112815816369e-10
Twist_0.50R Twist_0.82R,-2.0492216878119398e-10
Twist_0.50R Twist_0.85R,1.2882328395437115e-11
Twist_0.50R Twist_0.86R,-5.2839142763284714e-11
Twist_0.50R Twist_0.93R,-6.738794264392325e-11
Twist_0.50R Twist_1.00R,3.884904996141608e-11
Twist_0.74R^2,2.275573886030045e-11
Twist_0.74R Twist_0.82R,3.2493446014883285e-10
Twist_0.74R Twist_0.85R,6.231506432297691e-11
Twist_0.74R Twist_0.86R,1.002611181841191e-10
Twist_0.74R Twist_0.93R,1.367850686883549e-10
Twist_0.74R Twist_1.00R,-2.7290114332894073e-11
Twist_0.82R^2,1.9931237578928536e-10
Twist_0.82R Twist_0.85R,6.08347400720188e-11
Twist_0.82R Twist_0.86R,6.840433389567259e-12
Twist_0.82R Twist_0.93R,-8.924548941683534e-11
Twist_0.82R Twist_1.00R,-7.467029054113976e-11
Twist_0.85R^2,-2.3962928756008194e-11
Twist_0.85R Twist_0.86R,-2.4707181226490355e-11
Twist_0.85R Twist_0.93R,1.3561447290198344e-11
Twist_0.85R Twist_1.00R,-1.9271144478782442e-11
Twist_0.86R^2,-1.0879883532702824e-11
Twist_0.86R Twist_0.93R,-6.598697700430963e-11
Twist_0.86R Twist_1.00R,-4.580582046170038e-11
Twist_0.93R^2,-5.262203414895366e-11
Twist_0.93R Twist_1.00R,-4.832174919093495e-11
Twist_1.00R^2,-4.618846964226908e-11
