Term,Coefficient
1,0.5794167186382116
Twist_0.19R,0.00013603219725308422
Twist_0.47R,0.000876390114553145
Twist_0.50R,0.00028572619670544044
Twist_0.74R,0.0009821635133306181
Twist_0.82R,0.001850010667993362
Twist_0.85R,0.0010529730456233528
Twist_0.86R,0.0015962705481338425
Twist_0.93R,-0.003163017574640718
Twist_1.00R,-0.005005261704069246
Twist_0.19R^2,7.025644521486984e-06
Twist_0.19R Twist_0.47R,-5.30145646888329e-06
Twist_0.19R Twist_0.50R,4.293676147420681e-06
Twist_0.19R Twist_0.74R,7.561557966800046e-07
Twist_0.19R Twist_0.82R,1.3760560871735154e-06
Twist_0.19R Twist_0.85R,-6.530509823486088e-06
Twist_0.19R Twist_0.86R,1.1144607503456869e-05
Twist_0.19R Twist_0.93R,7.842720411409439e-06
Twist_0.19R Twist_1.00R,2.4815295792856218e-06
Twist_0.47R^2,-7.168286715187253e-05
Twist_0.47R Twist_0.50R,7.325689430470045e-07
Twist_0.47R Twist_0.74R,7.387480099299375e-05
Twist_0.47R Twist_0.82R,7.166321161899362e-05
Twist_0.47R Twist_0.85R,3.179606025616351e-05
Twist_0.47R Twist_0.86R,5.632107583090299e-05
Twist_0.47R Twist_0.93R,0.00010022307586414098
Twist_0.47R Twist_1.00R,4.87222255556273e-05
Twist_0.50R^2,-0.00019095209240141777
Twist_0.50R Twist_0.74R,-0.0001788615832280893
Twist_0.50R Twist_0.82R,0.00019055073888087754
Twist_0.50R Twist_0.85R,7.136811722519682e-05
Twist_0.50R Twist_0.86R,0.00014898161212572737
Twist_0.50R Twist_0.93R,0.0002876684566606084
Twist_0.50R Twist_1.00R,0.00015550513685618416
Twist_0.74R^2,-0.0009675041343733613
Twist_0.74R Twist_0.82R,-1.1845836383571145e-05
Twist_0.74R Twist_0.85R,0.0002505524304236683
Twist_0.74R Twist_0.86R,0.0005235189505790748
Twist_0.74R Twist_0.93R,0.000986151626641638
Twist_0.74R Twist_1.00R,0.0005060992709224405
Twist_0.82R^2,-0.0009230212678303191
Twist_0.82R Twist_0.85R,-0.00015592207109266817
Twist_0.82R Twist_0.86R,0.0003491049471578189
Twist_0.82R Twist_0.93R,0.0006166756422422362
Twist_0.82R Twist_1.00R,0.00028502990685642937
Twist_0.85R^2,-0.00039763641474795824
Twist_0.85R Twist_0.86R,1.2702375778339504e-05
Twist_0.85R Twist_0.93R,0.00022900741441428982
Twist_0.85R Twist_1.00R,0.00010286405427357168
Twist_0.86R^2,-0.0007250029588536427
Twist_0.86R Twist_0.93R,-0.0002523345322277676
Twist_0.86R Twist_1.00R,0.00024068064318375523
Twist_0.93R^2,-0.00103939512554485
Twist_0.93R Twist_1.00R,-0.00023274605840583067
Twist_1.00R^2,-0.000552346251853865
