Sample,Twist_0.13R,Twist_0.19R,Twist_0.47R,Twist_0.50R,Twist_0.74R,Twist_0.82R,Twist_0.85R,Twist_0.86R,Twist_0.93R,Twist_1.00R
1,0.0,0.7504520879028882,-8.416877756879503,-8.627717195839823,-14.055394736058119,-14.696188354695774,-15.011951244703273,-15.47152227940398,-13.123572128610554,-10.804256227265352
2,0.0,-0.7209007718757912,-8.202741596048464,-5.723853529977697,-11.51528773024016,-13.859645523226542,-13.496886828397654,-12.86045447744357,-14.119109169574031,-11.938127634512208
3,0.0,-1.1256552623439853,-7.271263328798243,-6.387516175480171,-13.43070905193626,-14.527941396048789,-14.689786242242644,-13.517556766994147,-14.718389277415703,-11.304933442007455
4,0.0,-0.8040876075315744,-8.402308578984133,-8.841366097906485,-11.859489524311815,-12.107935019464868,-15.026651650716275,-13.888740919412069,-12.226939111622551,-13.226378942718169
5,0.0,-1.0742598430106711,-7.678951409852451,-9.454453818698102,-10.679339627989364,-12.078874303837743,-13.135665356392115,-12.759400530204005,-12.110624733282764,-9.751664519602791
6,0.0,-0.6656095287149939,-6.138774956758059,-9.03257665620786,-12.31936499100795,-15.306279504967218,-15.44439981640495,-14.4360147245395,-13.679573848755004,-12.343329701713184
7,0.0,-2.507410330757253,-6.075561458062044,-8.250917831551076,-11.971137482391907,-14.440279593996255,-13.294229060147071,-13.625336805923581,-12.648942192412285,-10.937130472212964
8,0.0,0.5484700022851681,-5.145269436640001,-6.231107158801317,-13.74311841432149,-12.538607900196125,-14.804061635669136,-16.458873434778464,-12.470429169345639,-12.07081705728745
9,0.0,0.28429319385346385,-7.19646787897173,-7.576116605483378,-13.396562767784044,-15.696587187515533,-13.321323833029453,-13.605114064304683,-11.885567796418211,-10.657328627080656
10,0.0,-2.40081277372288,-5.581628040769331,-8.024333945839816,-10.810045424146267,-13.888180095721552,-13.547444718701193,-15.648923754460501,-13.620322543558066,-12.107002089550207
11,0.0,-3.2003046242054265,-8.787392640750154,-7.266892312551148,-13.100762042452192,-15.814603024178295,-15.893260565186237,-14.344723625221107,-12.920175299838633,-11.24423601180424
12,0.0,-2.673923795329099,-5.021817161381415,-7.679399414267621,-12.804531739922918,-13.355938352754695,-13.00155750180793,-13.307433780378318,-14.160898723004287,-11.132544483123691
13,0.0,0.2778072180756932,-8.025805204793087,-5.862911552579668,-13.39440472672959,-13.7326119132483,-13.863158439137884,-15.740353545565878,-14.963713228568183,-10.04751703905967
14,0.0,0.4685610740880981,-5.26886418607955,-8.469254617681404,-14.287168195937825,-14.64129969320311,-14.810168888642279,-16.524831614804338,-11.354083228347722,-10.72298798163849
15,0.0,-0.3266597224246657,-8.182289048377731,-7.6402068059354455,-12.391175289144355,-15.346341185937073,-16.315850240236752,-13.6751621222794,-11.792693739609069,-11.689181830982962
16,0.0,-0.7960456077420592,-5.595917118426483,-6.460964606873886,-11.6895654704545,-14.094165459999845,-14.444973316661676,-15.448981413988708,-14.289875652909949,-10.045143456104752
17,0.0,-0.6789469788021139,-7.6265339513261825,-8.564663137994685,-12.363041344804943,-12.96687782292061,-15.45204322415976,-16.205652583848387,-12.009792321543678,-10.146280498177997
18,0.0,-0.275108072287078,-6.60621715148227,-7.4393444801860795,-12.670562467567677,-13.735318845269383,-13.923453989228573,-14.559537294983834,-14.194215481891911,-11.335832023690275
19,0.0,-0.64046042798179,-7.780074825112352,-9.319109704938784,-11.082741844567725,-13.961659579486264,-16.001616502944128,-13.908634277785644,-12.043905798790139,-12.72258183567628
20,0.0,0.3029698857415366,-7.160511930181134,-6.2758720871400975,-10.898329215635163,-12.694089821238784,-13.606870194120006,-15.98998475112811,-14.307783354532509,-13.113497216038914
21,0.0,-2.965781584981757,-6.8397868932793955,-5.745037716720773,-11.59463185810366,-13.969544024864222,-13.187323322526336,-13.530747315457747,-12.966188933336122,-10.395493579222698
22,0.0,-0.20652492103184583,-5.3258736263010675,-5.934481941150011,-12.280245515864824,-12.53566222534425,-13.256306568633248,-16.172358536616315,-13.69519876558304,-9.975749124081675
23,0.0,-2.722392869331429,-7.100620647345799,-9.035554809676482,-11.261943652852121,-13.235001482372404,-14.058287795005102,-12.744027872575415,-13.028459312059997,-11.762263644435572
24,0.0,-1.5993553173472257,-8.286243665009255,-6.765012659863242,-11.653388524871286,-12.615162233218442,-13.274399551303318,-15.493608249052363,-13.149430814259231,-11.46147796800783
25,0.0,-2.8702621155031145,-8.4662475076073,-9.443855125102013,-13.11279515638765,-15.15460189738356,-13.220977168090702,-12.653325728425528,-13.001911246514092,-12.578572892453764
26,0.0,-1.2358496168586242,-6.038049718982771,-9.279110396084654,-10.911267950223362,-12.0802117948075,-15.982280679194128,-13.622838228638631,-14.571932463824286,-11.36919208510647
27,0.0,-1.3398660464432004,-5.717608721831226,-7.43093476320311,-13.825569526898503,-14.438035673567953,-14.72021828799353,-14.639658857229765,-14.19759363417665,-9.516465281483933
28,0.0,-1.5910615391811982,-8.303212031641399,-6.145735477907552,-11.295206214314677,-15.562825143138546,-15.442748368086814,-14.120851764172746,-12.17330386205116,-9.825734981263505
29,0.0,-0.7509077937641528,-5.046495679125902,-6.308473324725995,-12.011492028560486,-15.395633137526847,-13.852210556159708,-14.44613311771391,-12.411188867327512,-10.022292346488385
30,0.0,-1.6836493283809126,-8.766620669347848,-6.182287743865943,-10.625841940944975,-12.06833106344547,-16.078569440164674,-15.890307226790382,-13.99423098012733,-12.174042296032674
31,0.0,0.3118892091816714,-5.616349282941871,-7.334106763865254,-11.921182287632222,-15.6353614290536,-16.168787260913664,-14.704635982193903,-11.637009052474044,-11.993750009884469
32,0.0,0.7442977367463555,-6.782086950124025,-5.608362996819193,-10.440473489742208,-14.044498775151665,-14.837142465303485,-13.882832524851406,-12.366098508239855,-11.582747228276919
33,0.0,-1.1810475058974355,-5.294203343805807,-5.6716669171075775,-13.06010392373293,-12.993849683738036,-14.60819822628316,-14.891687149903195,-14.173805306287855,-13.093959141361173
34,0.0,-1.4696040517605473,-8.333558955081541,-7.341284966551991,-10.853557992709156,-13.412269104416826,-14.195072136071895,-12.68502844574038,-13.529715144288245,-12.830925598731188
35,0.0,0.2832298210077995,-5.955279126542474,-7.982532926635002,-13.440279536821908,-14.814955754548047,-14.246833778737189,-16.256465139881055,-13.84473502362023,-11.022732784899652
36,0.0,-0.042654991128825426,-8.844758928159452,-6.171371486690912,-10.986593752949142,-14.92389771585343,-13.487832696039076,-13.224961820856599,-15.058656722410008,-11.53107086957966
37,0.0,-0.5056971209775476,-5.47130517468112,-9.285608783655894,-12.811065444552131,-13.641265835258535,-14.858576311228365,-15.105469786324619,-13.42240480918625,-10.991389596257637
38,0.0,0.47427856186334827,-7.970264205674602,-7.3572287594810835,-11.014190191496459,-12.885451431256541,-13.476168986437646,-13.421871879645401,-13.260274815860075,-13.405917760491818
39,0.0,-3.13360176835217,-8.115187364008932,-5.597565248209259,-12.359590229677966,-12.789892054125634,-13.810506766707677,-15.931180151790715,-12.630190098395127,-11.117232331400048
40,0.0,-0.6343425826081859,-8.239129901222944,-8.215144861028067,-13.712931970305963,-15.571045263551026,-12.793527846780012,-14.451598489433023,-14.30098430643115,-12.553199186883045
41,0.0,-0.35786247247138014,-5.500239467177002,-7.2102342071318,-12.066175418023821,-15.599315726570081,-13.43083721660158,-15.403548642832282,-14.787342462826617,-10.452667275516657
42,0.0,-3.167796733094723,-7.3095250642941405,-6.90654106988182,-11.116728384035543,-13.050628879960408,-14.136315223297249,-16.426295566745083,-11.343872254926751,-10.808875808074397
43,0.0,0.4772333603544454,-7.975459371417354,-6.437105986130506,-11.169872279973676,-13.119560602987818,-15.640958739128248,-13.52475271894696,-12.701973263089847,-10.005435520472007
44,0.0,0.35009761067999223,-8.078236957154433,-8.497701067358381,-10.635274147767982,-12.04824384335667,-12.865176515999938,-12.96937219273021,-14.054024605371776,-13.178908635923683
45,0.0,-1.0436507990223927,-7.526590718050687,-5.796917096163597,-11.060884628254136,-15.372603854782884,-12.93783688379103,-16.47556258807086,-13.228221176821991,-10.881994069315676
46,0.0,-2.1017584000486154,-8.818567816875728,-5.721673793159322,-10.894212839063742,-12.483998209460948,-14.423331369472212,-13.279300250031117,-13.968180881453968,-10.597794066797793
47,0.0,0.2719420009935911,-6.644481656116081,-7.252286043750333,-14.327553535881384,-14.934396408454425,-14.127821276454261,-14.877312538078654,-13.236072325420988,-11.778010859668257
48,0.0,-2.624103315834029,-6.875211850355295,-8.143602963621719,-12.354477105641255,-15.753698817685846,-15.496114463880305,-14.643601927707282,-13.449855590860343,-13.319544216798208
49,0.0,-2.809396241567957,-7.15967596043731,-8.536080302599094,-13.424403564221437,-15.09024984735861,-16.247009061980386,-14.279490376256657,-13.441260023689152,-11.189702262199525
50,0.0,-0.9403104259848822,-7.2034692421838695,-7.9943860829817375,-11.572541517502636,-14.789419809394563,-14.315960409569797,-13.305223087211953,-11.886109000629983,-11.775232617939855
51,0.0,-2.4440847011031606,-6.381768291422732,-8.909419156570202,-10.788346255692844,-13.802183442011648,-13.84236706645776,-14.319960054359107,-15.130917121284917,-12.653568161896683
52,0.0,-0.051272816684215794,-8.207144826299917,-8.95829026050933,-14.171892048907116,-13.50660268526503,-15.045156034431614,-12.937399551889179,-15.02929846631049,-11.459881188819391
53,0.0,-2.27429687797984,-5.789016705476894,-9.194808068781482,-11.976948337458964,-13.252238435052394,-15.546268189219745,-16.21055615109156,-14.04460940920752,-13.068855806427363
54,0.0,-1.2872219750940732,-6.449269258234835,-9.06082362179317,-12.962817566218856,-12.612435257053393,-14.867176612496817,-14.766634081822634,-14.636072119668555,-10.516836800088313
55,0.0,-1.4749482653501802,-6.376451185736407,-8.803144915866245,-10.931131543800863,-14.92940400436222,-14.623295896964402,-13.737304866113043,-12.150632428303647,-9.875574864443973
56,0.0,-0.06909828876719937,-7.342862836390359,-9.367252024961882,-13.2127213146689,-14.177025478489213,-13.917473411376964,-13.459772805773447,-15.169842114394589,-11.389007265850367
57,0.0,-2.955040550229481,-8.911599740821526,-7.242628901383489,-11.14367476472469,-12.498988283293034,-14.25223171344867,-14.416144118294145,-14.449683986422079,-11.328111135833813
58,0.0,-2.3205612228722674,-5.632668260081003,-8.298345988890384,-13.250627786739603,-14.181485385133449,-14.482029365687119,-15.577654346849041,-11.681713096047147,-11.686744523146384
59,0.0,-0.7483072257981211,-7.549201680815889,-6.088239345111729,-13.982729838722156,-12.255916858361802,-14.489990928945167,-15.769544209782708,-11.758621923019842,-12.363375330098332
60,0.0,-2.595410812730968,-5.960775683390327,-8.837281777269173,-11.548021455289952,-13.424418115317204,-15.849050176605934,-13.082327502608516,-11.360331813735753,-10.683672608581102
61,0.0,-0.09197826600536718,-7.033111938856056,-7.535678139461764,-11.089980643328651,-13.688283191777137,-12.902896491226509,-16.25878514543168,-13.904160098567292,-9.67751066034559
62,0.0,-2.766867558054645,-6.51093865386838,-6.8703013459476265,-13.376361853304461,-14.105814207244311,-12.632089298177949,-12.842465704569888,-14.660584118660628,-12.318980395084804
63,0.0,0.1468271096539704,-7.584986579951701,-6.970168230669113,-13.42248733490811,-14.737687176769525,-13.393275177400955,-15.567298298100267,-14.011340406510701,-12.185525806038079
64,0.0,-0.19011621696344294,-4.974733216769865,-8.629079054870523,-13.524676912966594,-14.433688957746574,-14.716965145017173,-14.019537255178918,-11.627704031033762,-13.187009582965807
65,0.0,-3.1478191044877426,-5.385174247881073,-6.043700548597668,-12.196681181591183,-13.128997633917063,-13.657062822082008,-14.45220995943179,-13.478797105013403,-9.961834675345104
66,0.0,-1.4272616644807294,-5.450355013164874,-5.754677711271219,-13.660383206019326,-13.932049646263597,-15.075854920917008,-14.262896414656513,-13.34061507014484,-12.043196954383117
67,0.0,-0.9520146289125861,-8.3685560442132,-8.237406066931397,-10.827267539546138,-12.389963611895084,-13.017240715419316,-13.334955011747255,-12.013522865126367,-9.791806655743928
68,0.0,-1.8974413918934367,-6.211926422447098,-9.425564010341477,-11.391733602876524,-15.098228208142366,-14.351464827005987,-13.966880177399055,-13.079106207604822,-10.589308204818964
69,0.0,-2.649939630233411,-5.309969156162863,-9.088576456490976,-12.647467506994875,-14.01549996707587,-14.116692985722626,-14.854247739549727,-13.50208189392057,-12.803554686255058
70,0.0,-3.144979399483634,-7.439971080338989,-5.812929946912387,-12.651955833958148,-15.314823152004388,-14.23958736430112,-12.790169638544624,-13.871110923420275,-9.809604119573972
71,0.0,-2.6618494033344398,-8.015645166181233,-8.634073941454403,-13.936745404682613,-13.930097396944628,-15.956218564582228,-13.829350611257334,-14.551426516392622,-11.753547441365503
72,0.0,-1.037730913096111,-8.957478862936952,-6.485601743184214,-11.942097927419645,-13.554469070300883,-15.06924379554675,-13.645716250609249,-13.14000900024988,-13.457029258684233
73,0.0,-0.30335457479872874,-7.322059214578257,-8.280802711115108,-13.455791269762766,-13.847343225617712,-14.66447531672672,-13.611705562259264,-12.902696062846818,-11.599706689342288
74,0.0,-0.7165978873022376,-7.305180640501765,-8.992793880135496,-10.68854965010151,-14.827773115124343,-14.592375187363878,-14.534169623182471,-11.40268385387709,-12.797435278295284
75,0.0,-2.9516148632119528,-7.709997486740132,-9.092592724114022,-12.566815883902262,-14.660273642556058,-15.599149743859245,-14.301995160074526,-11.80940176202024,-13.269190425680828
76,0.0,0.05121526181415614,-8.10983059752057,-5.844993833192261,-12.158268733826626,-15.504730756926397,-14.690134333337696,-16.380403958075377,-12.194035337562,-12.218906559833
77,0.0,-0.6332690805299035,-7.486686584924757,-8.61684076354301,-10.50391841854569,-15.71550392624315,-14.473081713273888,-15.464569081750222,-11.565793993597545,-9.872470194233761
78,0.0,-2.640650685461033,-6.0918181296288445,-8.77105908411057,-11.127484635898835,-12.759181489588327,-12.803306878418018,-15.294598766583029,-14.036482744123253,-9.832644984694337
79,0.0,0.7676891168718329,-5.673748628730581,-6.602566493866501,-12.577122978788829,-13.477583948850283,-13.85556764821875,-14.148876772517168,-14.870952514617173,-9.82198940349787
80,0.0,0.06665080504604193,-8.963629276886234,-5.739805107938439,-10.475575179672457,-13.602370358689907,-15.457124341467475,-14.878203788314629,-14.091305844253128,-10.231910698856376
81,0.0,-1.0650254641285999,-6.930865944985735,-6.862071685502837,-10.41591954904466,-15.86820600536826,-14.65008215818661,-15.746492133223008,-14.512131060867835,-11.202910235684824
82,0.0,-2.5210321756025142,-8.536625139898057,-7.73810192096515,-13.898223200736497,-13.792769008755979,-15.348121056901652,-13.36139637945122,-13.290414041083048,-10.262604143137567
83,0.0,-2.0847882515543565,-7.1408332192661375,-6.798003321415349,-10.358224140741997,-14.835725529127481,-13.882002466125023,-15.019016334711624,-13.414979004013013,-12.324666188322022
84,0.0,-3.098862654040293,-6.957561162275052,-7.367682407412429,-12.52652069708683,-13.292644980881935,-14.612484965706056,-14.868959726801101,-11.839366516715316,-10.280456505750927
85,0.0,-2.15666147148411,-8.891860769235176,-6.078097138579694,-12.780921539210478,-14.229423116083193,-13.994300908023114,-16.04209474804001,-14.276276410743277,-11.615837646387062
86,0.0,-0.5380185195636424,-7.742376643949622,-8.414062567025804,-12.768221258935124,-14.367240298573256,-12.912483277817477,-14.68513842410086,-14.225180390765532,-11.00569887066618
87,0.0,-1.4160094827858238,-8.093706738918684,-7.417238238172854,-11.77032548697221,-14.52954587477627,-14.723710983083581,-12.970508526967508,-14.773837587361804,-11.166908914860597
88,0.0,-2.161206848908667,-6.547969299067235,-7.1267230721572785,-13.46362631869164,-12.690636798235657,-14.241598427044483,-13.277201467837726,-11.95243271139045,-12.122828052187579
89,0.0,0.059364728731273075,-6.2241562167861595,-8.860059669540199,-13.392692957310814,-14.422038068295635,-12.884330975515162,-14.1194503666417,-14.089416182471366,-10.807477160772915
90,0.0,0.19336569365774015,-5.621780038914235,-5.771187661096057,-12.948252052683493,-15.10428743732291,-14.301386190853858,-14.578345887872883,-13.669014585403163,-11.863983548951857
