Term,Coefficient
1,0.9636613600270123
Twist_0.19R,1.5336087740690402e-05
Twist_0.47R,0.00017013334113084042
Twist_0.50R,0.00036370332079266435
Twist_0.74R,0.0009020433785679282
Twist_0.82R,0.00030944925101112145
Twist_0.85R,5.551816339064667e-05
Twist_0.86R,-0.00022616626451893443
Twist_0.93R,-0.0014382715002504132
Twist_1.00R,-0.0006887025417390248
Twist_0.19R^2,1.4319235476869824e-07
Twist_0.19R Twist_0.47R,1.5370841964041032e-07
Twist_0.19R Twist_0.50R,-9.44468189635725e-08
Twist_0.19R Twist_0.74R,1.2279289429293e-07
Twist_0.19R Twist_0.82R,3.6926906650964217e-07
Twist_0.19R Twist_0.85R,6.206470857839943e-07
Twist_0.19R Twist_0.86R,-1.0593326378366321e-07
Twist_0.19R Twist_0.93R,-7.047401922139168e-07
Twist_0.19R Twist_1.00R,-6.785997033347691e-07
Twist_0.47R^2,9.111765136859701e-07
Twist_0.47R Twist_0.50R,5.856596030281438e-07
Twist_0.47R Twist_0.74R,2.2664494821630866e-06
Twist_0.47R Twist_0.82R,3.2185556335890338e-06
Twist_0.47R Twist_0.85R,1.4249811196865978e-06
Twist_0.47R Twist_0.86R,3.325788365331282e-06
Twist_0.47R Twist_0.93R,-7.811964760903893e-06
Twist_0.47R Twist_1.00R,-7.113767466769604e-06
Twist_0.50R^2,3.2951511282379366e-06
Twist_0.50R Twist_0.74R,1.1767771564688785e-05
Twist_0.50R Twist_0.82R,5.959352806635511e-06
Twist_0.50R Twist_0.85R,2.677527698647991e-06
Twist_0.50R Twist_0.86R,4.5061720574366174e-06
Twist_0.50R Twist_0.93R,-1.9156222181903942e-05
Twist_0.50R Twist_1.00R,-1.626721566221672e-05
Twist_0.74R^2,1.3415081383733865e-05
Twist_0.74R Twist_0.82R,1.2024837066223213e-05
Twist_0.74R Twist_0.85R,9.799325825284456e-06
Twist_0.74R Twist_0.86R,1.721866212817455e-05
Twist_0.74R Twist_0.93R,-4.6857724254515426e-05
Twist_0.74R Twist_1.00R,-4.258539166802721e-05
Twist_0.82R^2,-6.650012446325138e-06
Twist_0.82R Twist_0.85R,1.997844159942362e-06
Twist_0.82R Twist_0.86R,1.5098655895735385e-05
Twist_0.82R Twist_0.93R,-1.471738536035108e-05
Twist_0.82R Twist_1.00R,-1.8293136313540597e-05
Twist_0.85R^2,-7.199844423943743e-06
Twist_0.85R Twist_0.86R,3.723808296734088e-06
Twist_0.85R Twist_0.93R,-4.3213784631403315e-06
Twist_0.85R Twist_1.00R,-7.3822172023554715e-06
Twist_0.86R^2,-1.213033724654282e-05
Twist_0.86R Twist_0.93R,-1.2264076602014557e-05
Twist_0.86R Twist_1.00R,-1.4967829932301222e-05
Twist_0.93R^2,5.339786938529184e-05
Twist_0.93R Twist_1.00R,2.7720353601544887e-05
Twist_1.00R^2,4.59371221676386e-05
