airfoil,alpha,Cl,Cd
SC1095,-15.000000,-1.352600,0.038590
SC1095,-14.750000,-1.361900,0.035300
SC1095,-14.500000,-1.368300,0.032920
SC1095,-14.250000,-1.367100,0.031130
SC1095,-14.000000,-1.358900,0.029430
SC1095,-13.750000,-1.346700,0.028000
SC1095,-13.500000,-1.332200,0.026680
SC1095,-13.250000,-1.315900,0.025480
SC1095,-13.000000,-1.298100,0.024380
SC1095,-12.750000,-1.279000,0.023370
SC1095,-12.500000,-1.258800,0.022440
SC1095,-12.250000,-1.237700,0.021570
SC1095,-12.000000,-1.215800,0.020780
SC1095,-11.750000,-1.193100,0.020040
SC1095,-11.500000,-1.172400,0.018920
SC1095,-11.250000,-1.151600,0.017710
SC1095,-11.000000,-1.129300,0.016690
SC1095,-10.750000,-1.105700,0.015840
SC1095,-10.500000,-1.081400,0.015090
SC1095,-10.250000,-1.056400,0.014420
SC1095,-10.000000,-1.030800,0.013810
SC1095,-9.750000,-1.004900,0.013250
SC1095,-9.500000,-0.978700,0.012730
SC1095,-9.250000,-0.952100,0.012260
SC1095,-9.000000,-0.925200,0.011810
SC1095,-8.750000,-0.898100,0.011400
SC1095,-8.500000,-0.870800,0.011020
SC1095,-8.250000,-0.843300,0.010650
SC1095,-8.000000,-0.815600,0.010300
SC1095,-7.750000,-0.787800,0.009980
SC1095,-7.500000,-0.759900,0.009670
SC1095,-7.250000,-0.731900,0.009390
SC1095,-7.000000,-0.702800,0.009120
SC1095,-6.500000,-0.641800,0.008210
SC1095,-6.250000,-0.612800,0.007980
SC1095,-6.000000,-0.586900,0.007770
SC1095,-5.750000,-0.560700,0.007630
SC1095,-5.500000,-0.534600,0.007420
SC1095,-5.250000,-0.508500,0.007190
SC1095,-5.000000,-0.482700,0.007000
SC1095,-4.750000,-0.456600,0.006850
SC1095,-4.500000,-0.429300,0.006770
SC1095,-4.250000,-0.401200,0.006660
SC1095,-4.000000,-0.373000,0.006560
SC1095,-3.750000,-0.344700,0.006500
SC1095,-3.250000,-0.287600,0.006330
SC1095,-3.000000,-0.258900,0.006280
SC1095,-2.750000,-0.230200,0.006240
SC1095,-2.500000,-0.201500,0.006170
SC1095,-2.250000,-0.172800,0.006150
SC1095,-2.000000,-0.144100,0.006130
SC1095,-1.750000,-0.115300,0.006110
SC1095,-1.500000,-0.086600,0.006060
SC1095,-1.250000,-0.057800,0.006020
SC1095,-1.000000,-0.029000,0.005980
SC1095,-0.750000,-0.000300,0.005950
